category,product_name,podio,reviews_rating_number,reviews_amount,_source,_data_coleta,old_price,new_price,ranking_number
 Construção,"Fio Elétrico Cabo Flexível 2,5mm Rolo 100 Metros. C/inmetro",1º MAIS VENDIDO,4.3,13304,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,78.1,74.26,1
" Casa, Móveis e Decoração",Jogo De Lençol Queen 3 Peças 400 Fios C/ Elástico Hotel,1º MAIS VENDIDO,4.6,24761,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,58.88,37.09,1
" Arte, Papelaria e Armarinho",Estojo Escolar Box Grande Organizador Com Divisória Bolsinha,20º MAIS VENDIDO,4.8,726,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,33.9,3.32,20
 Agro,Forth Adubo Fertilizante P/ Árvore Frutífera Npk Frutas 3kg,16º MAIS VENDIDO,4.8,3195,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,37.22,12.41,16
 Agro,Vonder Bomba Periferica Bpv 375 Piscina Caixa 1/2cv Bivolt Cor Amarelo Fase Elétrica Monofásica Frequência 60 Hz 127v/220v,17º MAIS VENDIDO,4.6,2572,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,210.29,199.77,17
 Alimentos e Bebidas,Cerveja Heineken Premium Garrafa 6 Long Neck 330ml,15º MAIS VENDIDO,4.8,425,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,43.41,40.74,15
 Bebês,Sabonete Em Barra Óleo De Karité E Baunilha Delicious Care De 90 G Pacote X 6 Dove,9º MAIS VENDIDO,4.9,1569,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,27.17,20.92,9
 Beleza e Cuidado Pessoal,Máquina De Cortar Cabelo Fazer Barba Acabamento Dragão,8º MAIS VENDIDO,4.4,59518,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,27.9,25.94,8
 Animais,Msd Coleira Antiparasitária Scalibor Cães Pequenos E Médios 48cm,9º MAIS VENDIDO,4.6,2722,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,93.17,9.13,9
 Acessórios para Veículos,Modulo Taramps Ts400x4 Amplificador 400w Digital 400rms 4 Canais T400 Ts 400 2 Ohms Som Estereo Entrada Rca Potencia Para Carro Moto Caminhonete,9º MAIS VENDIDO,4.7,14410,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,210.89,183.47,9
 Antiguidades e Coleções,Ventilador De Teto Ventex Valen Led 3 Pás Preto Mogno 127v,9º MAIS VENDIDO,4.7,6332,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,349.9,262.42,9
 Eletrodomésticos,"Liquidificador L-99-fb Turbo Power 2,2 L Potência De 550w Cor Preto Mondial 110v",2º MAIS VENDIDO,4.7,130155,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,106.39,10.0,2
 Construção,Torneira Metal Inox Filtro Gourmet Pia Cozinha Parede Luxo,2º MAIS VENDIDO,4.4,12401,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,78.99,7.74,2
 Brinquedos e Hobbies,Piscina Splash Fun Redonda Inflável 2400 Litros Mor,1º MAIS VENDIDO,4.7,13040,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,359.71,247.28,1
" Casa, Móveis e Decoração",Sabão Liquido Omo Pro Lavanderia Profissional 7 L,2º MAIS VENDIDO,4.9,13309,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,66.66,6.53,2
" Casa, Móveis e Decoração",Câmera De Segurança Rezzet Lâmpada Ip Wifi Com Visão Noturna Interna Externa App Yoosee Espiã 360º Cor Branco,3º MAIS VENDIDO,4.7,1286,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,76.9,65.36,3
 Celulares e Telefones,Fone De Ouvido Bluetooth Sem Fio Tws Microfone Todos Celular,1º MAIS VENDIDO,4.4,61533,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,29.9,2.93,1
" Calçados, Roupas e Bolsas",Short Praia Masculino Bermuda Verão Academia Treino Corrida,1º MAIS VENDIDO,4.6,31826,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,39.9,32.98,1
 Agro,Parafusadeira Furadeira A Bateria 3/8  12 V Pfv 120 Vonder,18º MAIS VENDIDO,4.8,4827,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,222.64,209.28,18
 Alimentos e Bebidas,Azeite De Oliva Extra Virgem Gallo 500 Ml,16º MAIS VENDIDO,4.8,5236,https://www.mercadolivre.com.br/mais-vendidos/,2025-01-09 20:18:45.206895,52.49,48.9,16
